,MSE,SSIM,RECON,DOD_LOSS
0,0.039428291239720935,0.46030358268934135,0.24986593797802925,2.2274140343617868
1,0.02256760499714052,0.33479881418101926,0.17868320983560645,22.96497724139515
2,0.02055654539178838,0.31208818800309124,0.1663223674849552,334.059435714091
3,0.019478221451315808,0.2997239442432628,0.15960108280620156,1395.7525791482014
4,0.018744434599819428,0.2912583517677644,0.15500139313585617,3690.7546994374957
5,0.01821064458721701,0.28482821583747864,0.15151942981516614,72105.11700996253
6,0.01778381263070247,0.2790842590963139,0.14843403493218563,659023.2053414829
7,0.017502505099400878,0.27535557527752486,0.1464290399761761,3249053.379063662
8,0.01716206906199017,0.2707097753882408,0.1439359214376001,9970177.301804114
9,0.016925991560770747,0.26788975955808864,0.14240787561763735,5120143.94126033
10,0.01672266154577408,0.26541366954060164,0.14106816579313838,20004721.1441357
11,0.016622965600725043,0.2635558256331612,0.14008939518209765,2529356616.287088
12,0.016416076447486,0.2607591445831692,0.13858761046739185,12406343.655049268
13,0.01627730774720583,0.25895315101918054,0.13761522905791507,19762032041.234756
14,0.016135224880760208,0.2572861839743221,0.13671070468776367,34961025433.04291
15,0.016021614661440253,0.2552931063315448,0.13565736055812416,4865384326138.236
16,0.01584789658184437,0.2532058358192444,0.1345268662142403,73673961254.42313
17,0.015790879384011906,0.2521686606547412,0.13397976997144082,19613822579.80922
18,0.015673340640633422,0.2504156078485882,0.1330444744295057,131653899714.74675
19,0.015549443264984909,0.24859726078370037,0.13207335156552932,190966136936.94095
20,0.015442773549105315,0.24755374780472586,0.13149826053310842,87000514203.56267
21,0.01546443285256186,0.2474883992005797,0.1314764158690677,1012462657777.874
22,0.015376344419029705,0.2461347001440385,0.13075552206924734,2817736588508.848
23,0.015256653443964966,0.24468953863662832,0.12997309567735477,19730251629315.844
24,0.015179851729258457,0.24353854884119594,0.12935920037767468,1129760619273.284
25,0.015166673186125563,0.24302002436974468,0.12909334892516627,8773860050051.158
26,0.015062681522549075,0.2415049746632576,0.12828382794909618,32184524852088.723
27,0.01499707208645037,0.24109061281470692,0.12804384299499147,7599337621414.961
28,0.014983467894661076,0.2403663795660524,0.1276749243192813,1609175913254.9448
29,0.014844942598274964,0.23859480242518818,0.12671987268635454,2638114580811.7285
30,0.014849020435255678,0.23826459839063532,0.12655680938897765,30192408375141.535
31,0.014786244904184166,0.2376676179906901,0.12622693181037903,6333544022095.265
32,0.014752718359779786,0.23707595730529113,0.12591433804482222,2004494956076475.5
33,0.014670523753225365,0.23626737296581268,0.12546894880121245,3729094920821323.0
34,0.014649915645885117,0.235199354150716,0.12492463496678016,518993765676792.5
35,0.014606015914229347,0.2349314413526479,0.12476872860947076,21997182480292.03
36,0.014571275589439799,0.23433287485557444,0.12445207570186433,22319114452276.81
37,0.01451249431599589,0.2334490865468979,0.12398079048623056,123956708843761.9
38,0.01445436620783499,0.23260616905548992,0.12353026740910376,158617548211595.75
39,0.014453123474274488,0.2325127164230627,0.12348291995551657,6754153605897.753
40,0.014371491831672542,0.23103372139089248,0.12270260662497844,27272833217585.99
41,0.014357123962220024,0.2308358041679158,0.12259646379114951,9784411836237.52
42,0.014325549230253434,0.23057011164286556,0.12244783067966208,371829608082343.7
43,0.014259726760963745,0.22942413258201935,0.12184192974339514,1204100679744610.0
44,0.01426262647488757,0.22967074548496919,0.12196668604498401,39881729399765.47
45,0.01419877415687284,0.22839326236177893,0.12129601808812689,455544974665004.8
46,0.01413968246539726,0.22774327896973667,0.12094148051212816,300165141032171.8
47,0.01418426089153132,0.22816136742339416,0.1211728143012699,4825296269929062.0
48,0.014100504970616278,0.22701683552826152,0.12055867033846238,3017415031753913.0
49,0.01408908931154977,0.226828891564818,0.1204589908285176,1541270117699694.0
50,0.014045709812575403,0.22599257572608836,0.12001914284465943,543104163640607.06
51,0.014047311475116979,0.22625364669982126,0.12015047910458901,4543485743676739.0
52,0.013984115876476555,0.22494033636415706,0.11946222602444537,31256396518426.21
53,0.01396976805100327,0.2248162377406569,0.1193930027896867,1245405977383080.0
54,0.013950755114338416,0.22459126833607168,0.1192710123517934,2049276743716698.8
55,0.013908118043807061,0.223863426815061,0.11888577213839573,2.8039620313359252e+16
56,0.013884455383316997,0.2233412068556337,0.11861283129409832,1862000935240672.5
57,0.013907667838365716,0.22377879873794668,0.11884323321282864,1.1142033371668358e+16
58,0.013865850434419425,0.2230822842787294,0.1184740674079341,3.659820004786683e+16
