,MSE,SSIM,RECON,DOD_LOSS
0,0.037292824975927084,0.48614761846907,0.14950652278083212,0.42389211833805723
1,0.02089397659908761,0.3580118790268898,0.1051734520451111,33.27873904304579
2,0.018803183715242672,0.32933588413631215,0.09643635915263611,88.28948327756541
3,0.01805514021886184,0.31904321514508305,0.09330215924145545,399.0527463172946
4,0.01730489936273764,0.3094148272100617,0.09033238164642278,2480.0325755091276
5,0.016508992275168353,0.29892192956279307,0.08711222690694473,2815.5522758789252
6,0.01623346792150508,0.2939022003727801,0.08565065182526321,2839.0861792485503
7,0.01591556642533225,0.2896774240276393,0.08435603088754065,12050.880909698852
8,0.015679746427956748,0.28576269219903383,0.08320048276115866,7541.853517784792
9,0.015483413802405052,0.2833658452419674,0.08245402152704842,20285.648112819832
10,0.015508942278649877,0.28408927032176184,0.08265402425518807,46254.704029152716
11,0.015428226222010219,0.2826121278545436,0.08222420168492724,212792.60479576446
12,0.01508409103296478,0.2789525074117324,0.08105119520469624,499687.3724184492
13,0.014709768871612409,0.2729923089637476,0.07928040349746451,2365321.2025269796
14,0.014612996382364893,0.2711433159077869,0.07874557611477725,1427335.7719766253
15,0.014632221194915473,0.27075109236380634,0.07866193912923336,2061054.3947320264
16,0.014370589455425301,0.2676100652007496,0.07768045815036577,2065827.243059202
17,0.014303339775377774,0.26616061347372394,0.07726765807498903,93657972.19365558
18,0.014291103545795469,0.2653016338453573,0.07704373586046345,707012.1997455289
19,0.014139318653820631,0.2636278008713442,0.07651143910034615,3410677.0872178636
20,0.013984166715732393,0.26119284901548834,0.07578633687294581,4423101.521624397
21,0.014203498105737655,0.2638753402759047,0.0766214584274327,7407777.5348058585
22,0.013879878056126045,0.26034101405564475,0.0754951619926621,6058760.225885167
23,0.013757764909635572,0.25767434870495515,0.07473691059824299,2296829.67303728
24,0.013807418838362484,0.25834375137791915,0.07494150151443832,12777138.125894098
25,0.013656505814972608,0.25598456184653673,0.07423851956777713,227705057.18188363
