,MSE,SSIM,RECON,DOD_LOSS
0,0.051476326729992736,0.47826657970162,0.47826657970162,86.93071022158598
1,0.02895738644634976,0.33975209383403554,0.33975209383403554,1602.1350678424624
2,0.025968181133708534,0.31521733368144317,0.31521733368144317,5924.76059208898
3,0.024424790897790122,0.30164500939495426,0.30164500939495426,24933.442271085347
4,0.02350338432006538,0.29275260295938044,0.29275260295938044,68967.27249381998
5,0.022763091892770985,0.2866067732958233,0.2866067732958233,315587.10086420004
6,0.02215467507074423,0.2804722882368985,0.2804722882368985,274221.23488715116
7,0.021815617746837875,0.2771430111983243,0.2771430111983243,645620.8398962232
8,0.021317742532119155,0.2718712512184592,0.2718712512184592,330473.1235383819
9,0.021097607280620757,0.2693813026827924,0.2693813026827924,963244.0109516032
10,0.020768252735519233,0.26649947026196646,0.26649947026196646,2129001.2235734602
11,0.0205715456566609,0.26429391739999547,0.26429391739999547,15815522.112086352
12,0.02026827816906221,0.2616505114471211,0.2616505114471211,2977886.9300317205
13,0.020110262297641707,0.2604927657281651,0.2604927657281651,8366515.530482068
14,0.019876365673125666,0.2583194383803536,0.2583194383803536,8506707.6494374
15,0.019627782968146837,0.25565290582530636,0.25565290582530636,167604309.7050429
16,0.019430280936991468,0.25350501958061666,0.25350501958061666,56934556.57404413
17,0.019342249300440446,0.25258923102827635,0.25258923102827635,9239114.447836056
18,0.019224517335019568,0.25131166770177726,0.25131166770177726,35289300.0407652
19,0.01909977475674275,0.24975832639371648,0.24975832639371648,21112918.305337794
20,0.018909032388097224,0.24779761714093826,0.24779761714093826,29865616.348131515
21,0.01891779833856751,0.24762070003677816,0.24762070003677816,71198538.03601593
22,0.01886262870667612,0.24684581292026184,0.24684581292026184,156170031.48964164
23,0.018663879949599504,0.24477479343905167,0.24477479343905167,124323605.62925383
24,0.018582592841566485,0.24385641033158584,0.24385641033158584,196975030.59025642
25,0.01856227416326018,0.24329634098445668,0.24329634098445668,176563802.8413463
26,0.018452138694770196,0.24223352661904166,0.24223352661904166,930276506.3679664
27,0.018373611588578892,0.24125303766306708,0.24125303766306708,82312828.36087126
28,0.018330912078347278,0.24064520527334773,0.24064520527334773,167364567.85476908
29,0.018207032480003202,0.23887462388066685,0.23887462388066685,1248850351.7027009
30,0.018179489779012167,0.23827740243252585,0.23827740243252585,367632966.89386344
31,0.01810984151876148,0.23758504364420385,0.23758504364420385,624336505.2739998
32,0.018065120709840867,0.23690365868456223,0.23690365868456223,475279559.93611145
33,0.017957488869262093,0.23602654127513661,0.23602654127513661,1877081753.6368208
34,0.01792271961184109,0.23490330576896667,0.23490330576896667,1745074885.5823538
35,0.017877791884957868,0.23475827627322254,0.23475827627322254,1344180095.7365708
36,0.017908827155171073,0.23520565997151768,0.23520565997151768,4500508267.426545
37,0.017769499339492005,0.23336641884901943,0.23336641884901943,6121218711.342855
38,0.017711659824913916,0.23270727562553742,0.23270727562553742,45158688649.35253
39,0.017681441173943525,0.23241757382364833,0.23241757382364833,24843884312.00358
40,0.017600112978149864,0.2310085844467668,0.2310085844467668,964271545.4517202
41,0.017578775295987725,0.23066607818884008,0.23066607818884008,3619102556.0224485
42,0.017551784691236475,0.23057962033678503,0.23057962033678503,5613729027.144562
43,0.01744985450333094,0.22927176075823166,0.22927176075823166,332718978161.4863
44,0.01745277441873708,0.22925947606563568,0.22925947606563568,167415395597.65283
45,0.017383352415088343,0.22850840494913213,0.22850840494913213,9132880966.902035
46,0.017308376373394448,0.2277511270607219,0.2277511270607219,189910146230.90503
47,0.017352086135788876,0.2277757192359251,0.2277757192359251,47399732341.38066
48,0.017248589381137314,0.22653647687505274,0.22653647687505274,521897035235.38617
49,0.01727358703775441,0.22681371078771703,0.22681371078771703,4985971731.376793
50,0.017233217148767674,0.2262621324728517,0.2262621324728517,96071653639.11417
51,0.017225861070020235,0.2262189335682813,0.2262189335682813,151142896167.917
52,0.017202941016020143,0.22565623416620142,0.22565623416620142,62604680232.626625
53,0.017126610297161865,0.22468430505079381,0.22468430505079381,31980372451.0518
54,0.0171190651736277,0.2246605692540898,0.2246605692540898,562528872111.3557
55,0.017040557289660415,0.2236809542073923,0.2236809542073923,890592140063.7393
56,0.017058326664161596,0.22387507382561178,0.22387507382561178,259885750924.20013
57,0.017051755231531227,0.2238566402126761,0.2238566402126761,70277134859.52165
58,0.016988242414834744,0.22278573539327173,0.22278573539327173,433279943266.2385
59,0.016959659508703387,0.2224638448918567,0.2224638448918567,215322958372.55344
60,0.01691379209788626,0.22206980998025222,0.22206980998025222,40626314352.37042
61,0.016919152811169624,0.2218518441214281,0.2218518441214281,112765758445.65953
62,0.01684238248066429,0.2208624837153098,0.2208624837153098,380372213232.5729
63,0.016786452958031613,0.2199628348736202,0.2199628348736202,540949667642.97345
64,0.01684413119630121,0.2202742941239301,0.2202742941239301,191290558717.62094
65,0.016825402395197135,0.22002183733617559,0.22002183733617559,77434812957367.14
66,0.01677143740851213,0.21928235932308085,0.21928235932308085,321365447788.4792
67,0.01674005324157941,0.21907593704321804,0.21907593704321804,67923049618058.56
68,0.016741649857174384,0.21924263195079916,0.21924263195079916,275509535032.0137
69,0.016663068063173664,0.2183609013171757,0.2183609013171757,2158467368129.3613
70,0.01666688688975923,0.21775155120036183,0.21775155120036183,461389610222.4749
